"ENTRY","PERIOD","ACCNO","DOCNO","STOCKNO","DESCRIPTION","CATEGORY","GROUP","BRAND","ORDERNO","DATE","QTY","RETAIL","COST","REF","REP","USER","LOCATION","CONTRACT","COMMS","LINECOMMS","TAXCODE","LINETAX","PROJNO","DEPARTMENT","SRETAIL1","SRETAIL2","SRETAIL3","SRETAIL4","SRETAIL5","SRETAIL6","REP","NAME","STOCKNOENT","STOCKBAR","SUPSTOCKNO","SUPREF"
"Invoice",1,"CS0004","00006402","19.3","19KG LPG REFILL","19K","LPG","","","13/03/2020",1.00,347.8300,256.1216,"","001","DARREN","01","",0.0000,0.0000,1,52.17,"","",340.9665,212.4700,212.4700,212.4700,212.4700,212.4700,"COUNTER SALES","CASH SALES - SPEEDPOINT","","","",""
"Invoice",1,"MD0003","00006407","19.3","19KG LPG REFILL","19K","LPG","","","13/03/2020",3.00,305.4900,256.1216,"","002","DARREN","01","",0.0000,0.0000,1,137.47,"","",340.9665,212.4700,212.4700,212.4700,212.4700,212.4700,"DELIVERY","BLUFF MEAT SUPPLY(PTY) LTD","","","",""
"Invoice",1,"BU0002","00006409","19.3","19KG LPG REFILL","19K","LPG","","","16/03/2020",6.00,326.0900,256.1216,"","002","DARREN","01","",0.0000,0.0000,1,293.48,"","",340.9665,212.4700,212.4700,212.4700,212.4700,212.4700,"DELIVERY","BULWER CASH STORE","","","",""
"GRV",1,"003ORY","00001229","19.3","19KG LPG REFILL","19K","LPG","","00000000","17/03/2020",-6.00,0.0000,256.0867,"20001929","","DARREN","01","",0.0000,0.0000,1,230.48,"","",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,"ORYX 2020","","","",""
"Invoice",1,"JIM001","00006417","19.3","19KG LPG REFILL","19K","LPG","","","17/03/2020",4.00,326.0875,256.1066,"","002","DARREN","01","",0.0000,0.0000,1,195.65,"","",340.9665,212.4700,212.4700,212.4700,212.4700,212.4700,"DELIVERY","JIMMY'S / INVESCO","","","",""
"Invoice",1,"SWA002","00006418","19.3","19KG LPG REFILL","19K","LPG","","","17/03/2020",2.00,330.4350,256.1066,"","002","DARREN","01","",0.0000,0.0000,1,99.13,"","",340.9665,212.4700,212.4700,212.4700,212.4700,212.4700,"DELIVERY","SWAADISHT - NEW ACCOUNT","","","",""
"Invoice",1,"UC0000","00006419","19.3","19KG LPG REFILL","19K","LPG","","","18/03/2020",8.00,294.5000,256.1066,"ORDER #A65800","002","DARREN","01","",0.0000,0.0000,1,353.40,"","",340.9665,212.4700,212.4700,212.4700,212.4700,212.4700,"DELIVERY","UCL COMPANY (PTY) LTD","","","",""
"GRV",1,"003ORY","00001230","19.3","19KG LPG REFILL","19K","LPG","","00000000","18/03/2020",-8.00,0.0000,256.0875,"20002015","","DARREN","01","",0.0000,0.0000,1,307.30,"","",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,"ORYX 2020","","","",""
"GRV",1,"003ORY","00001231","19.3","19KG LPG REFILL","19K","LPG","","00000000","18/03/2020",-10.00,0.0000,256.0870,"20002030","","DARREN","01","",0.0000,0.0000,1,384.13,"","",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,"ORYX 2020","","","",""
"Invoice",1,"CS0035","00006424","19.3","19KG LPG REFILL","19K","LPG","","","19/03/2020",6.00,292.6100,256.0872,"","001","TANAKA","01","",0.0000,0.0000,1,263.35,"","",340.9665,212.4700,212.4700,212.4700,212.4700,212.4700,"COUNTER SALES","CASH SALES","","","",""
"Invoice",1,"MA0050","00006425","19.3","19KG LPG REFILL","19K","LPG","","","20/03/2020",5.00,334.7820,256.0872,"","002","DARREN","01","",0.0000,0.0000,1,251.09,"","",340.9665,212.4700,212.4700,212.4700,212.4700,212.4700,"DELIVERY","MAYORS WALK SPAR","","","",""
"GRV",1,"003ORY","00001233","19.3","19KG LPG REFILL","19K","LPG","","00000000","20/03/2020",-15.00,0.0000,256.0867,"20002115","","DARREN","01","",0.0000,0.0000,1,576.20,"","",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,"ORYX 2020","","","",""
"Invoice",1,"SWA002","00006427","19.3","19KG LPG REFILL","19K","LPG","","","20/03/2020",3.00,330.4333,256.0869,"","002","DARREN","01","",0.0000,0.0000,1,148.70,"","",340.9665,212.4700,212.4700,212.4700,212.4700,212.4700,"DELIVERY","SWAADISHT - NEW ACCOUNT","","","",""
