"ENTRY","PERIOD","ACCNO","NAME","DOCNO","INVNO","DEBORDER","ORDERNO","DEPREF","DATE","REF","AMOUNT","TAX","EXCODE","FAMOUNT","PAID"
"Invoice",3,"TAN002","TANDOOR THE CLAY OVEN","00043334","00043334","DN#12262-EMPTY","","","24/05/2025","TANDOOR THE CLAY OVEN",2415.00,315.00,"00",0.00,"Y"
"Crd Note",3,"TAN002","TANDOOR THE CLAY OVEN","00012565","00043334","DN#12262-EMPTY","","","26/05/2025","TANDOOR THE CLAY OVEN",-2415.00,-315.00,"00",0.00,"Y"
"Invoice",3,"TAN002","TANDOOR THE CLAY OVEN","00043353","00043353","DN#12263","00011288","","24/05/2025","TANDOOR THE CLAY OVEN",1849.98,241.30,"00",0.00,"Y"
"Invoice",3,"TAN002","TANDOOR THE CLAY OVEN","00043365","00043365","DN#12263-EMPTY","","","26/05/2025","TANDOOR THE CLAY OVEN",1897.50,247.50,"00",0.00,"Y"
"Crd Note",3,"TAN002","TANDOOR THE CLAY OVEN","00012567","00043365","DN#12263-EMPTY","","","26/05/2025","TANDOOR THE CLAY OVEN",-1725.00,-225.00,"00",0.00,"Y"
"Invoice",3,"TAN002","TANDOOR THE CLAY OVEN","00043465","00043465","DN#12139","00011340","","29/05/2025","TANDOOR THE CLAY OVEN",1573.87,205.29,"00",0.00,"Y"
"Invoice",3,"TAN002","TANDOOR THE CLAY OVEN","00043468","00043468","DN#12139-EMPTY","00011341","","29/05/2025","TANDOOR THE CLAY OVEN",1725.00,225.00,"00",0.00,"Y"
"Crd Note",3,"TAN002","TANDOOR THE CLAY OVEN","00012597","00043468","DN#12139-EMPTY","","","30/05/2025","TANDOOR THE CLAY OVEN",-1207.50,-157.50,"00",0.00,"Y"
"Invoice",3,"TAN002","TANDOOR THE CLAY OVEN","00043701","00043701","DN#12497","","","07/06/2025","TANDOOR THE CLAY OVEN",1849.98,241.30,"00",0.00,"Y"
"Invoice",3,"TAN002","TANDOOR THE CLAY OVEN","00043702","00043702","DN#12497-EMPTY","","","07/06/2025","TANDOOR THE CLAY OVEN",1897.50,247.50,"00",0.00,"Y"
