"ENTRY","PERIOD","ACCNO","DOCNO","STOCKNO","DESCRIPTION","CATEGORY","GROUP","BRAND","ORDERNO","DATE","QTY","RETAIL","COST","REF","REP","USER","LOCATION","CONTRACT","COMMS","LINECOMMS","TAXCODE","LINETAX","PROJNO","DEPARTMENT","SRETAIL1","SRETAIL2","SRETAIL3","SRETAIL4","SRETAIL5","SRETAIL6","REP","NAME","STOCKNOENT","STOCKBAR","SUPSTOCKNO","SUPREF"
"Crd Note",3,"TAN002","00012567","9.1","9KG CYLINDER DEPOSIT","CYL","CYL","","00043365","26/05/2025",-1.00,450.0000,450.0000,"DN#12263-EMPTY","002","TIFFANY","01","",0.0000,0.0000,1,67.50,"","",450.0000,450.0000,450.0000,450.0000,450.0000,450.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",3,"TAN002","00043468","9.1","9KG CYLINDER DEPOSIT","CYL","CYL","","00011341","29/05/2025",1.00,450.0000,450.0000,"DN#12139-EMPTY","002","TIFFANY","01","",0.0000,0.0000,1,67.50,"","",450.0000,450.0000,450.0000,450.0000,450.0000,450.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",3,"TAN002","00043465","901","9KG LPG PACKED 01","9KG","LPG","","00011340","29/05/2025",1.00,216.0900,197.0798,"DN#12139","002","TIFFANY","01","",0.0000,0.0000,1,32.41,"","",243.4783,243.4783,243.4783,243.4783,243.4783,243.4783,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",3,"TAN002","00042965","S.1","48KG SV CYLINDER DEPOSIT","CYL","CYL","","","10/05/2025",1.00,1050.0000,1050.0000,"DN#13212-EMPTY","002","LOUIS","01","",0.0000,0.0000,1,157.50,"","",1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Crd Note",3,"TAN002","00012459","S.1","48KG SV CYLINDER DEPOSIT","CYL","CYL","","00042965","12/05/2025",-1.00,1050.0000,1050.0000,"DN#13212-EMPTY","002","LOUIS","01","",0.0000,0.0000,1,157.50,"","",1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",3,"TAN002","00043134","S.1","48KG SV CYLINDER DEPOSIT","CYL","CYL","","","16/05/2025",1.00,1050.0000,1050.0000,"DN#13148-EMPTY","002","TIFFANY","01","",0.0000,0.0000,1,157.50,"","",1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Crd Note",3,"TAN002","00012516","S.1","48KG SV CYLINDER DEPOSIT","CYL","CYL","","00043134","19/05/2025",-1.00,1050.0000,1050.0000,"DN#13148-EMPTY","002","TIFFANY","01","",0.0000,0.0000,1,157.50,"","",1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",3,"TAN002","00043334","S.1","48KG SV CYLINDER DEPOSIT","CYL","CYL","","","24/05/2025",2.00,1050.0000,1050.0000,"DN#12262-EMPTY","002","TIFFANY","01","",0.0000,0.0000,1,315.00,"","",1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Crd Note",3,"TAN002","00012565","S.1","48KG SV CYLINDER DEPOSIT","CYL","CYL","","00043334","26/05/2025",-2.00,1050.0000,1050.0000,"DN#12262-EMPTY","002","TIFFANY","01","",0.0000,0.0000,1,315.00,"","",1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",3,"TAN002","00043365","S.1","48KG SV CYLINDER DEPOSIT","CYL","CYL","","","26/05/2025",1.00,1050.0000,1050.0000,"DN#12263-EMPTY","002","TIFFANY","01","",0.0000,0.0000,1,157.50,"","",1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Crd Note",3,"TAN002","00012567","S.1","48KG SV CYLINDER DEPOSIT","CYL","CYL","","00043365","26/05/2025",-1.00,1050.0000,1050.0000,"DN#12263-EMPTY","002","TIFFANY","01","",0.0000,0.0000,1,157.50,"","",1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",3,"TAN002","00043468","S.1","48KG SV CYLINDER DEPOSIT","CYL","CYL","","00011341","29/05/2025",1.00,1050.0000,1050.0000,"DN#12139-EMPTY","002","TIFFANY","01","",0.0000,0.0000,1,157.50,"","",1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Crd Note",3,"TAN002","00012597","S.1","48KG SV CYLINDER DEPOSIT","CYL","CYL","","00043468","30/05/2025",-1.00,1050.0000,1050.0000,"DN#12139-EMPTY","002","TIFFANY","01","",0.0000,0.0000,1,157.50,"","",1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",3,"TAN002","00043702","S.1","48KG SV CYLINDER DEPOSIT","CYL","CYL","","","07/06/2025",1.00,1050.0000,1050.0000,"DN#12497-EMPTY","002","TIFFANY","01","",0.0000,0.0000,1,157.50,"","",1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Crd Note",3,"TAN002","00012661","S.1","48KG SV CYLINDER DEPOSIT","CYL","CYL","","00043702","09/06/2025",-1.00,1050.0000,1050.0000,"DN#12497-EMPTY","002","TIFFANY","01","",0.0000,0.0000,1,157.50,"","",1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",3,"TAN002","00043465","S.4","48KG SV LPG- PACKED","SV","LPG","","00011340","29/05/2025",1.00,1152.4900,1050.7394,"DN#12139","002","TIFFANY","01","",0.0000,0.0000,1,172.88,"","",1252.1739,1252.1739,1252.1739,1252.1739,1252.1739,1252.1739,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",3,"TAN002","00042964","S01","48KG SINGLE VALVE PACKED","SV","LPG","","00011178","09/05/2025",1.00,1135.7900,1043.4910,"DN#13212","002","LOUIS","01","",0.0000,0.0000,1,170.37,"","",1252.1739,1252.1739,1252.1739,1252.1739,1252.1739,1252.1739,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",3,"TAN002","00043132","S01","48KG SINGLE VALVE PACKED","SV","LPG","","00011220","16/05/2025",1.00,1135.7900,1047.8449,"DN#13148","002","TIFFANY","01","",0.0000,0.0000,1,170.37,"","",1252.1739,1252.1739,1252.1739,1252.1739,1252.1739,1252.1739,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",3,"TAN002","00043333","S01","48KG SINGLE VALVE PACKED","SV","LPG","","","24/05/2025",2.00,1152.4900,1051.0329,"DN#12262","002","TIFFANY","01","",0.0000,0.0000,1,345.75,"","",1252.1739,1252.1739,1252.1739,1252.1739,1252.1739,1252.1739,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",3,"TAN002","00043353","S01","48KG SINGLE VALVE PACKED","SV","LPG","","00011288","24/05/2025",1.00,1152.4900,1051.0329,"DN#12263","002","TIFFANY","01","",0.0000,0.0000,1,172.87,"","",1252.1739,1252.1739,1252.1739,1252.1739,1252.1739,1252.1739,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",3,"TAN002","00043701","S01","48KG SINGLE VALVE PACKED","SV","LPG","","","07/06/2025",1.00,1152.4900,1022.9548,"DN#12497","002","TIFFANY","01","",0.0000,0.0000,1,172.87,"","",1252.1739,1252.1739,1252.1739,1252.1739,1252.1739,1252.1739,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",4,"TAN002","00043763","19.1","19KG CYLINDER DEPOSIT","CYL","CYL","","00011392","10/06/2025",1.00,600.0000,600.0000,"DN#12367-EMPTY","002","TIFFANY","01","",0.0000,0.0000,1,90.00,"","",600.0000,600.0000,600.0000,600.0000,600.0000,600.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Crd Note",4,"TAN002","00012683","19.1","19KG CYLINDER DEPOSIT","CYL","CYL","","00043763","11/06/2025",-1.00,600.0000,600.0000,"DN#12367-EMPTY","002","TIFFANY","01","",0.0000,0.0000,1,90.00,"","",600.0000,600.0000,600.0000,600.0000,600.0000,600.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",4,"TAN002","00043995","19.1","19KG CYLINDER DEPOSIT","CYL","CYL","","00011502","17/06/2025",1.00,600.0000,600.0000,"DN#12399-EMPTY","002","TIFFANY","01","",0.0000,0.0000,1,90.00,"","",600.0000,600.0000,600.0000,600.0000,600.0000,600.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Crd Note",4,"TAN002","00012738","19.1","19KG CYLINDER DEPOSIT","CYL","CYL","","00043995","17/06/2025",-1.00,600.0000,600.0000,"DN#12399-EMPTY","002","TIFFANY","01","",0.0000,0.0000,1,90.00,"","",600.0000,600.0000,600.0000,600.0000,600.0000,600.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",4,"TAN002","00043762","1901","19KG LPG PACKED","19K","LPG","","00011391","10/06/2025",1.00,456.1900,411.5604,"DN#12367","002","TIFFANY","01","",0.0000,0.0000,1,68.43,"","",513.0435,513.0435,513.0435,513.0435,513.0435,513.0435,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",4,"TAN002","00043994","1901","19KG LPG PACKED","19K","LPG","","00011501","17/06/2025",1.00,443.4700,405.1677,"DN#12399-HILTON","002","TIFFANY","01","",0.0000,0.0000,1,66.53,"","",513.0435,513.0435,513.0435,513.0435,513.0435,513.0435,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",4,"TAN002","00043763","S.1","48KG SV CYLINDER DEPOSIT","CYL","CYL","","00011392","10/06/2025",2.00,1050.0000,1050.0000,"DN#12367-EMPTY","002","TIFFANY","01","",0.0000,0.0000,1,315.00,"","",1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Crd Note",4,"TAN002","00012683","S.1","48KG SV CYLINDER DEPOSIT","CYL","CYL","","00043763","11/06/2025",-2.00,1050.0000,1050.0000,"DN#12367-EMPTY","002","TIFFANY","01","",0.0000,0.0000,1,315.00,"","",1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",4,"TAN002","00043995","S.1","48KG SV CYLINDER DEPOSIT","CYL","CYL","","00011502","17/06/2025",2.00,1050.0000,1050.0000,"DN#12399-EMPTY","002","TIFFANY","01","",0.0000,0.0000,1,315.00,"","",1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
